Talasna duzina_Tirkizna [nm]	 Intenzitet svetlosti_Tirkizna [cd]
611.345	384.4599915
611.919	378.5400085
612.493	377.7200012
613.068	354
613.642	356.7799988
614.216	332.1600037
614.790	331.7200012
615.364	299.1600037
615.938	314.9599915
616.512	292.2600098
617.086	293
617.660	277.6400146
618.234	278.1600037
618.808	260.3200073
619.382	248.8399963
619.955	258.4599915
620.529	236.5599976
621.103	237.1600037
621.676	245.2799988
622.250	223.6399994
622.824	213.1600037
623.397	238.7599945
623.971	223.2400055
624.544	222.4199982
625.117	222.3000031
625.691	222.5599976
626.264	218.4799957
626.837	221.5800018
627.410	202.7599945
627.984	197.4400024
628.557	186.6799927
629.130	195.8800049
629.703	183.8399963
630.276	188.9799957
630.849	183.8200073
631.422	181.7799988
631.994	175.8399963
632.567	168.7599945
633.140	159.0800018
633.713	164.1399994
634.285	162.1000061
634.858	153.4199982
635.431	149
636.003	133.3399963
636.576	139.2400055
637.148	156.1999969
637.721	140.6600037
638.293	128.7799988
638.865	142.0599976
639.438	128.4199982
640.010	129.5599976
640.582	124.7399979
641.154	129.6999969
641.727	115.5
642.299	123
642.871	124
643.443	108.4599991
644.015	116.2399979
644.587	116.8600006
645.159	111.8000031
645.730	99.66000366
646.302	96.12000275
646.874	98.41999817
647.446	92
648.017	101.9800034
648.589	90.09999847
649.161	100.1800003
649.732	90.09999847
650.304	99.23999786
650.875	83.59999847
651.446	89.77999878
652.018	83.41999817
652.589	83.73999786
653.160	82.90000153
653.732	90.44000244
654.303	77.59999847
654.874	73.26000214
655.445	74.95999908
656.016	75.31999969
656.587	73.09999847
657.158	73.66000366
657.729	72.23999786
658.300	70.98000336
658.871	68.19999695
659.442	55.41999817
660.012	59.11999893
660.583	51.45999908
661.154	56.74000168
661.724	51.13999939
662.295	52.25999832
662.866	48.93999863
663.436	53.59999847
664.007	57.24000168
664.577	46
665.147	52.58000183
665.718	47.70000076
666.288	40.97999954
666.858	49.88000107
667.428	46.40000153
667.999	44.5
668.569	46.72000122
669.139	44.90000153
669.709	44.97999954
670.279	57.18000031
670.849	42.47999954
671.418	45.20000076
671.988	46.38000107
672.558	44.43999863
673.128	45.13999939
673.698	41.70000076
674.267	47.06000137
674.837	33.5
675.406	29.04000092
675.976	53.79999924
676.545	48.65999985
677.115	46.88000107
677.684	39.34000015
678.254	47.95999908
678.823	44.18000031
679.392	44
679.961	56.09999847
680.531	46.54000092
681.100	55.52000046
681.669	54.31999969
682.238	63.56000137
682.807	60.24000168
683.376	68.5
683.945	74.36000061
684.514	80.16000366
685.082	69.18000031
685.651	68.01999664
686.220	68.22000122
686.789	64.30000305
687.357	68.18000031
687.926	77.13999939
688.494	74.04000092
689.063	60.31999969
689.631	69.66000366
690.200	69.09999847
690.768	63.20000076
691.337	54.54000092
691.905	53.72000122
692.473	55.18000031
693.041	51.41999817
693.609	60.91999817
694.178	49.27999878
694.746	48.74000168
695.314	46.61999893
695.882	49.65999985
696.450	59.22000122
697.017	56.31999969
697.585	39.45999908
698.153	37.38000107
698.721	44.04000092
699.288	53.56000137
699.856	48.22000122
700.424	56.43999863
700.991	43.68000031
701.559	54.02000046
702.126	45.06000137
702.694	37.58000183
703.261	46.77999878
703.828	42.20000076
704.396	43.88000107
704.963	51.5
705.530	47.77999878
706.097	37.15999985
706.664	37.79999924
707.232	42.56000137
707.799	56.52000046
708.365	50.5
708.932	43.18000031
709.499	43.45999908
710.066	52.77999878
710.633	49.47999954
711.200	45.22000122
711.766	49.41999817
712.333	39.41999817
712.900	52.11999893
713.466	40.02000046
714.033	38.20000076
714.599	41.11999893
715.166	33.54000092
715.732	45.77999878
716.298	35.29999924
716.865	39.91999817
717.431	32.24000168
717.997	36.24000168
718.563	34.52000046
719.129	45.43999863
719.695	34.5
720.261	34.02000046
720.827	49.38000107
721.393	50.68000031
721.959	42.13999939
722.525	43.54000092
723.091	42.45999908
723.656	48.61999893
724.222	42.27999878
724.788	44.63999939
725.353	47.41999817
725.919	47.38000107
726.484	39.86000061
727.050	51.93999863
727.615	43.20000076
728.181	44
728.746	43.65999985
729.311	41.11999893
729.876	29.89999962
730.442	40.31999969
731.007	46.24000168
731.572	24.62000084
732.137	33.61999893
732.702	39.11999893
733.267	44.61999893
733.832	40.27999878
734.397	36.84000015
734.961	36.06000137
735.526	30.57999992
736.091	31.02000046
736.655	29.81999969
737.220	34.79999924
737.785	39.91999817
738.349	31.31999969
738.914	40.90000153
739.478	29.45999908
740.042	30.62000084
740.607	41.24000168
741.171	27.71999931
741.735	33.22000122
742.299	33.02000046
742.864	27.76000023
743.428	30.52000046
743.992	28.5
744.556	43.65999985
745.120	39.5
745.684	36
746.248	40.59999847
746.811	25.15999985
747.375	34.58000183
747.939	22.02000046
748.503	18.87999916
749.066	32.88000107
749.630	17.44000053
750.193	23.54000092
750.757	30.68000031
751.320	40.25999832
751.884	36.72000122
752.447	34.09999847
753.010	27.87999916
753.573	31.78000069
754.137	23.62000084
754.700	24.10000038
755.263	30.86000061
755.826	33.70000076
756.389	23.70000076
756.952	34.70000076
757.515	34.04000092
758.078	24.42000008
758.641	40.52000046
759.203	33.54000092
759.766	17.79999924
760.329	29.89999962
760.891	26.29999924
761.454	32.18000031
762.016	13.39999962
762.579	28.26000023
763.141	26.97999954
763.704	31.05999947
764.266	25.68000031
764.828	11.5
765.391	29.79999924
765.953	19.42000008
766.515	23.78000069
767.077	33.77999878
767.639	13.65999985
768.201	41.08000183
768.763	28.10000038
769.325	32.40000153
769.887	37.08000183
770.449	30.23999977
771.010	18.68000031
771.572	26.18000031
772.134	31.23999977
772.695	29.26000023
773.257	27.94000053
773.818	24.89999962
774.380	21.39999962
774.941	33.79999924
775.503	34.45999908
776.064	27.13999939
776.625	25.20000076
777.187	30.55999947
777.748	26.79999924
778.309	34.70000076
778.870	33.54000092
779.431	23.37999916
779.992	29.54000092
780.553	27.02000046
781.114	27.42000008
781.675	24.97999954
782.235	28.94000053
782.796	25.34000015
783.357	17.13999939
783.918	26.29999924
784.478	19.97999954
785.039	25.62000084
785.599	22.18000031
786.160	32.5
786.720	29.55999947
787.280	37.38000107
787.841	30.42000008
788.401	23.89999962
788.961	23.73999977
