Talasna duzina_Zuta [nm]	 Intenzitet svetlosti_Zuta [cd]
671.418	163.1000061
671.988	151.1799927
672.558	152.0599976
673.128	161.4199982
673.698	172.7200012
674.267	167.6600037
674.837	170.0599976
675.406	160.8399963
675.976	175.5800018
676.545	165.2200012
677.115	175.7200012
677.684	180.9199982
678.254	178.4600067
678.823	185.2400055
679.392	196.6799927
679.961	191.9400024
680.531	197.8200073
681.100	204.3800049
681.669	210.1000061
682.238	216.6000061
682.807	217.0800018
683.376	217.2400055
683.945	235.0200043
684.514	245.5200043
685.082	238.1999969
685.651	242.4600067
686.220	246.5599976
686.789	218.5399933
687.357	247.9799957
687.926	246.3000031
688.494	238.9400024
689.063	215.0200043
689.631	229.2200012
690.200	232.0399933
690.768	214.2200012
691.337	217.8600006
691.905	217.0200043
692.473	212.5800018
693.041	225.9199982
693.609	216.9199982
694.178	208.9799957
694.746	218.1600037
695.314	204.1600037
695.882	204.0800018
696.450	217.8399963
697.017	202.7400055
697.585	196.1000061
698.153	196.1000061
698.721	199.1399994
699.288	187.8399963
699.856	185.9799957
700.424	183.9199982
700.991	177.6199951
701.559	182.8200073
702.126	183.8200073
702.694	176.4400024
