Talasna duzina_Ljubicasta [nm]	 Intenzitet svetlosti_Ljubicasta [cd]
807.979	-0.319999993
808.537	-6.71999979
809.096	-3.339999914
809.654	-1.299999952
810.212	-0.100000001
810.771	-13.60000038
811.329	-13.60000038
811.887	-14.14000034
812.445	-3.920000076
813.003	-7.960000038
813.561	0.460000008
814.119	-16.87999916
814.677	-8.100000381
815.235	-1
815.793	-11.10000038
816.351	-4.820000172
816.908	-8.100000381
817.466	-11.76000023
818.024	-11.15999985
818.581	-5.659999847
819.139	-16.04000092
819.696	-3.859999895
820.253	-4.400000095
820.811	-14.22000027
821.368	3.599999905
821.925	-7.760000229
822.483	6.559999943
823.040	-19.95999908
823.597	-3.519999981
824.154	-16.45999908
824.711	-6.699999809
825.268	-17.89999962
825.825	-15.26000023
826.382	-9.140000343
826.939	-9.960000038
827.495	-14.35999966
828.052	-10.43999958
828.609	-14.77999973
829.165	-6.559999943
829.722	-18.15999985
830.278	-0.039999999
830.835	-11.02000046
831.391	-16.86000061
831.948	-4.159999847
832.504	-6.920000076
833.060	-16.52000046
833.616	-13.47999954
834.172	-9.100000381
834.729	-4.639999866
835.285	-19.13999939
835.841	-6.699999809
836.397	-1.879999995
836.952	-6.239999771
837.508	-7.239999771
838.064	-14.73999977
838.620	-19.37999916
839.176	-8.479999542
839.731	-14.92000008
840.287	-0.200000003
840.842	-9.119999886
841.398	-13.61999989
841.953	-15.14000034
842.509	-10.68000031
843.064	-20.39999962
843.619	-15.72000027
844.174	-5.460000038
844.730	-5.519999981
845.285	-2.640000105
845.840	-2.619999886
846.395	-8.359999657
846.950	-18.78000069
847.505	-15.27999973
848.060	-5.78000021
848.614	-7.659999847
849.169	-3
849.724	-13.96000004
850.278	-4
850.833	-16
851.388	-12.10000038
851.942	-8.920000076
852.497	-4.639999866
853.051	2.460000038
853.605	-3.720000029
854.160	-14.39999962
854.714	-14.02000046
855.268	-16
855.822	-15.39999962
856.376	-18.31999969
856.930	-4.5
857.484	-8.619999886
858.038	-1.539999962
858.592	-17.05999947
859.146	-13.88000011
859.700	-13.35999966
860.253	-13.27999973
860.807	-11.65999985
861.361	-8.380000114
861.914	-2.960000038
862.468	-9.760000229
863.021	-15.30000019
863.575	-11.31999969
864.128	-14.42000008
864.681	-0.939999998
865.235	-17.86000061
865.788	-4.579999924
866.341	-15.93999958
866.894	-2.019999981
867.447	-5.340000153
868.000	-11.22000027
868.553	-13.76000023
869.106	-8.600000381
869.659	-17.07999992
870.211	-8.479999542
870.764	-21.5
871.317	-1.120000005
871.870	-5
872.422	-13.47999954
872.975	-14.39999962
873.527	-16.31999969
874.079	-16.94000053
874.632	-6.480000019
875.184	-19.94000053
875.736	-9.380000114
876.289	-14.56000042
876.841	-21.05999947
877.393	-21.71999931
877.945	-10.02000046
878.497	-18.94000053
879.049	-8.140000343
879.601	-8.420000076
880.152	-7.539999962
880.704	-22.95999908
881.256	-7
881.808	-23.36000061
882.359	-19.81999969
882.911	-16.39999962
883.462	-10.26000023
884.014	-23.21999931
884.565	-17.79999924
885.117	-18.81999969
885.668	-8.619999886
886.219	-11.39999962
886.770	-3.380000114
887.321	-14.88000011
887.872	-7.340000153
888.424	-19.29999924
888.974	-10.77999973
889.525	-16.23999977
890.076	-20.79999924
890.627	-21.42000008
891.178	-20.39999962
891.729	-20.70000076
892.279	-22.62000084
892.830	-21.15999985
893.380	-14.56000042
893.931	-28.47999954
894.481	-8.319999695
895.032	-12.14000034
895.582	-15.43999958
896.132	-23.54000092
896.682	-12.14000034
897.233	-16.05999947
897.783	-10.65999985
898.333	-23.37999916
898.883	-10.65999985
899.433	-22.68000031
899.983	-16.60000038
900.533	-15.5
901.082	-15.43999958
901.632	-17.23999977
902.182	-15.15999985
902.731	-20.94000053
903.281	-24.65999985
903.831	-12.27999973
904.380	-10.5
904.929	-24.73999977
905.479	-17.63999939
906.028	-17.39999962
906.577	-18.86000061
907.127	-22.28000069
907.676	-16.54000092
908.225	-21.23999977
908.774	-3.380000114
909.323	-8.600000381
909.872	-25.29999924
910.421	-10.38000011
910.969	-17.97999954
911.518	-27.76000023
912.067	-20.92000008
912.616	-23.78000069
913.164	-20.21999931
913.713	-22.65999985
914.261	-11.15999985
914.810	-21.79999924
915.358	-15.68000031
915.906	-25.21999931
916.455	-19.45999908
917.003	-17.18000031
917.551	-21.42000008
918.099	-17.23999977
918.647	-20.62000084
919.195	-13.30000019
919.743	-16.63999939
920.291	-31.12000084
920.839	-20.68000031
921.387	-18.84000015
921.934	-18.55999947
922.482	-31.97999954
923.030	-11.96000004
923.577	-23.07999992
924.125	-19.92000008
924.672	-27.29999924
925.219	-9.880000114
925.767	-27.31999969
926.314	-16.28000069
926.861	-16.44000053
927.409	-17.95999908
927.956	-22.55999947
928.503	-27.12000084
929.050	-23.07999992
929.597	-24.86000061
930.143	-25.87999916
930.690	-7.420000076
931.237	-18.78000069
931.784	-22.18000031
932.331	-21.23999977
932.877	-24.20000076
933.424	-27.5
933.970	-17.97999954
934.517	-10.52000046
935.063	-11.26000023
935.609	-16.02000046
936.156	-17.76000023
936.702	-17.20000076
937.248	-22.34000015
937.794	-15.22000027
938.340	-13.43999958
938.886	-25.18000031
939.432	-24.34000015
939.978	-21.34000015
940.524	-12.38000011
941.070	-29.70000076
941.616	-15.07999992
942.161	-26.65999985
942.707	-20.71999931
943.252	-21.34000015
943.798	-19.20000076
944.343	-21.36000061
944.889	-8.279999733
945.434	-16.45999908
945.979	-13
946.525	-27.86000061
947.070	-26.81999969
947.615	-25.5
948.160	-27.70000076
948.705	-23.20000076
949.250	-20.57999992
949.795	-30.79999924
950.340	-12.93999958
950.884	-21.21999931
951.429	-15.57999992
951.974	-14.27999973
952.518	-25.21999931
953.063	-14.06000042
953.607	-23.28000069
954.152	-24.89999962
954.696	-13.15999985
955.241	-18.92000008
955.785	-19.55999947
956.329	-19.18000031
956.873	-16.12000084
957.417	-28.63999939
957.961	-19.26000023
958.505	-24.87999916
959.049	-13.61999989
959.593	-27.71999931
960.137	-13.5
960.681	-18.28000069
961.224	-23.42000008
961.768	-31.52000046
